L1_ItemNumber,L1_ItemDescription,L1_ItemType,L1_LotNumber,L1_Job,L1_JobStatus,L2_Quantity,L2_ItemNumber,L2_ItemDescription,L2_ItemType,L2_LotNumber,L2_Job,L2_JobStatus,L3_Quantity,L3_ItemNumber,L3_ItemDescription,L3_ItemType,L3_LotNumber,L3_Job,L3_JobStatus,L4_Quantity,L4_ItemNumber,L4_ItemDescription,L4_ItemType,L4_LotNumber,L4_Job,L4_JobStatus,L5_Quantity,L5_ItemNumber,L5_ItemDescription,L5_ItemType,L5_LotNumber
MZ441ELE73,Ardea golieth,Finished Good,RQ3SSD8,RQ3SSD8,Closed,8,QV741IG248,Haliaetus vocifer,Sub Assembly,J1OKT8P,MQES8AK,Closed,61,FI450JPZCV,Macropus eugenii,Sub Assembly,MQES8AK,5K5DFOO,Released,63,KT5649IX0K,Melanerpes erythrocephalus,Sub Assembly,5K5DFOO,QMUGEWG,Released,21,UA45970NV1,Pedetes capensis,Raw Material,QMUGEWG
VG5951YMIZ,Phalacrocorax carbo,Finished Good,EZWIPGS,EZWIPGS,Complete,76,IN009KUD12,Francolinus swainsonii,Sub Assembly,00Q8DQF,5THMZZ9,Closed,24,HE967K2P62,Felis wiedi or Leopardus weidi,Sub Assembly,5THMZZ9,086AQOV,Released,13,HW8669ZL26,Tiliqua scincoides,Sub Assembly,086AQOV,RJQHJT4,Unreleased,32,SP209ZX4IE,Mustela nigripes,Raw Material,RJQHJT4
UL669134MZ,unavailable,Finished Good,SI17ALA,SI17ALA,Released,76,GV32235T5I,Helogale undulata,Sub Assembly,2JGRNZU,2ZP2SRV,Released,83,UC95605J9C,Macropus robustus,Sub Assembly,2ZP2SRV,23OJAUW,Unreleased,42,OF8838RXU6,Gopherus agassizii,Sub Assembly,23OJAUW,QHCXNKV,Complete,74,MJ09587YEL,Sciurus vulgaris,Raw Material,QHCXNKV
IZ767GIG18,Eunectes sp.,Finished Good,H9ZP82E,H9ZP82E,Unreleased,96,UJ1902SZ74,Sula nebouxii,Sub Assembly,8D51RID,XFOQTQ8,Unreleased,49,JU321C82FC,Pycnonotus barbatus,Sub Assembly,XFOQTQ8,CB15FKY,Closed,69,HB61332REX,Terathopius ecaudatus,Sub Assembly,CB15FKY,WK5BUAR,Complete,15,HR244AM1G3,Sarkidornis melanotos,Raw Material,WK5BUAR
XX842ECD1B,Eumetopias jubatus,Finished Good,83HR5QU,83HR5QU,Unreleased,94,AT0971JPEB,Ramphastos tucanus,Sub Assembly,TYRIUN5,KGMDQQC,Closed,86,ET674G0JJH,Casmerodius albus,Sub Assembly,KGMDQQC,JQUANB7,Complete,66,ET741BRX0E,Connochaetus taurinus,Sub Assembly,JQUANB7,J6F8YIR,Complete,83,SX546Y48I2,Ovis ammon,Raw Material,J6F8YIR
MZ441ELE73,Ardea golieth,Finished Good,HAP9NK6,HAP9NK6,Unreleased,61,ZO213ADVAL,Eubalaena australis,Sub Assembly,NEJOE9K,Q4GT3TN,Unreleased,75,QW9998X5WK,Myotis lucifugus,Sub Assembly,Q4GT3TN,E6OF1V7,Unreleased,71,AQ3654OA5T,Anthropoides paradisea,Sub Assembly,E6OF1V7,QIPE84I,Closed,31,YP634F51GI,Naja sp.,Raw Material,QIPE84I
ItemNumber,ItemDescription,Finished Good,FT79ZVS,FT79ZVS,Released,25,FU119WGN5I,Cynictis penicillata,Sub Assembly,571KNL9,A333ENO,Released,74,TK143QJ0LV,Trachyphonus vaillantii,Sub Assembly,A333ENO,DE5ZBX7,Released,85,PX7605QFQO,Sarkidornis melanotos,Sub Assembly,DE5ZBX7,HZ5NE8A,Closed,25,TW7393S8X1,unavailable,Raw Material,HZ5NE8A
UL669134MZ,unavailable,Finished Good,36K7PGA,36K7PGA,Complete,98,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,WO6UNOE,PWYLUST,Released,47,UA700ZHN5F,Buteo regalis,Sub Assembly,PWYLUST,HF4LRZM,Complete,7,WV659L4OI2,Acrobates pygmaeus,Sub Assembly,HF4LRZM,DGWMXJ9,Unreleased,22,DY254Q45HZ,Francolinus swainsonii,Raw Material,DGWMXJ9
IZ767GIG18,Eunectes sp.,Finished Good,JKEVRB3,JKEVRB3,Closed,27,NL479YC3PM,Macropus agilis,Sub Assembly,WCOJTKH,STFSGZK,Unreleased,31,TR202OHRJ8,Zosterops pallidus,Sub Assembly,STFSGZK,ZJVCQV4,Complete,92,WC0434KYW0,Gymnorhina tibicen,Sub Assembly,ZJVCQV4,F930OAW,Released,14,VE623Q58GS,Eolophus roseicapillus,Raw Material,F930OAW
XX842ECD1B,Eumetopias jubatus,Finished Good,LUBXI4Y,LUBXI4Y,Closed,42,IX83928QKZ,Genetta genetta,Sub Assembly,J0IFANM,VGLUZU2,Unreleased,76,RY8076ADQX,Laniarius ferrugineus,Sub Assembly,VGLUZU2,LAC0T26,Unreleased,54,OY783V5VB2,Gymnorhina tibicen,Sub Assembly,LAC0T26,XY1WQ6N,Released,64,YN969Q4UDY,Diomedea irrorata,Raw Material,XY1WQ6N
MZ441ELE73,Ardea golieth,Finished Good,NWC8JTO,NWC8JTO,Closed,82,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,C9O5LIV,A2MLLUK,Unreleased,59,ZF254JDBWA,Papio cynocephalus,Sub Assembly,A2MLLUK,TXS2Z9F,Unreleased,73,GY17140GPM,Sarkidornis melanotos,Sub Assembly,TXS2Z9F,2T2SQ7A,Complete,14,AM08620LRG,Coracias caudata,Raw Material,2T2SQ7A
VG5951YMIZ,Phalacrocorax carbo,Finished Good,SOVSMI1,SOVSMI1,Released,88,ZT17074KDS,Neophron percnopterus,Sub Assembly,NANU7KA,QZDLKKC,Complete,31,HT187TM346,Melophus lathami,Sub Assembly,QZDLKKC,PMPY1RU,Unreleased,48,NO337M6DEL,Acinynox jubatus,Sub Assembly,PMPY1RU,819SRC1,Unreleased,19,MQ220M8SNE,Limosa haemastica,Raw Material,819SRC1
UL669134MZ,unavailable,Finished Good,61TYF6J,61TYF6J,Complete,51,HI221W99HA,Manouria emys,Sub Assembly,NTTPGVE,2DRM7RA,Released,30,AN106VMB9Z,Meleagris gallopavo,Sub Assembly,2DRM7RA,2GADGDV,Unreleased,86,PC136RG01I,Acrobates pygmaeus,Sub Assembly,2GADGDV,MHU5RYB,Released,59,TD459DOY8B,Paradoxurus hermaphroditus,Raw Material,MHU5RYB
IZ767GIG18,Eunectes sp.,Finished Good,QB8YOWJ,QB8YOWJ,Released,87,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,RN68KBE,UPNOGKC,Released,16,FF3610NQ0W,Actophilornis africanus,Sub Assembly,UPNOGKC,44MWZIU,Unreleased,14,LN62733J9V,Chelodina longicollis,Sub Assembly,44MWZIU,BUQ5A9A,Released,97,HQ790E8FNG,Caiman crocodilus,Raw Material,BUQ5A9A
XX842ECD1B,Eumetopias jubatus,Finished Good,4UDHEE0,4UDHEE0,Closed,16,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,CM91R8D,TB77WFB,Complete,19,BS508XXHRD,Spermophilus richardsonii,Sub Assembly,TB77WFB,4M9VWYV,Closed,89,NY68897M4S,Hippotragus niger,Sub Assembly,4M9VWYV,7TY7U5A,Closed,56,NG602KWJ16,Crotaphytus collaris,Raw Material,7TY7U5A
MZ441ELE73,Ardea golieth,Finished Good,NEER1C3,NEER1C3,Released,96,QV741IG248,Haliaetus vocifer,Sub Assembly,2TZIYHS,42KK5ZM,Closed,82,EU290A8ENU,Ovis ammon,Sub Assembly,42KK5ZM,ZJT6POP,Released,68,OW0918ZKFP,Cyrtodactylus louisiadensis,Sub Assembly,ZJT6POP,147EFSQ,Released,41,EK518EDRB7,Gopherus agassizii,Raw Material,147EFSQ
VG5951YMIZ,Phalacrocorax carbo,Finished Good,M98VB8S,M98VB8S,Unreleased,57,IN009KUD12,Francolinus swainsonii,Sub Assembly,6NFFOMF,NQ7SVYU,Unreleased,41,ES187TFWQ2,Tursiops truncatus,Sub Assembly,NQ7SVYU,7WZBJJN,Closed,83,BW916GA7P8,Paraxerus cepapi,Sub Assembly,7WZBJJN,DS7KVSN,Closed,16,QX9459HLAO,Eira barbata,Raw Material,DS7KVSN
UL669134MZ,unavailable,Finished Good,4KLL5HA,4KLL5HA,Released,12,GV32235T5I,Helogale undulata,Sub Assembly,TKTM50Y,WLLDTE0,Closed,82,JZ187GWLN4,Terrapene carolina,Sub Assembly,WLLDTE0,N64I7CY,Closed,20,DG117M7VGH,Felis concolor,Sub Assembly,N64I7CY,CDKFOM5,Unreleased,56,WI696XIT2P,Francolinus coqui,Raw Material,CDKFOM5
IZ767GIG18,Eunectes sp.,Finished Good,0GV1L88,0GV1L88,Unreleased,10,UJ1902SZ74,Sula nebouxii,Sub Assembly,RVD3YIX,3N4MOOG,Complete,62,JW592Q3SL6,Capreolus capreolus,Sub Assembly,3N4MOOG,6RQ3W8B,Released,40,XA4282IZJI,Ardea golieth,Sub Assembly,6RQ3W8B,UD4XYY4,Closed,31,HZ180HP5LU,Hyaena hyaena,Raw Material,UD4XYY4
XX842ECD1B,Eumetopias jubatus,Finished Good,5CAHO8H,5CAHO8H,Released,66,AT0971JPEB,Ramphastos tucanus,Sub Assembly,FBI5B5G,WJRCK01,Closed,38,FH43868JVJ,Phasianus colchicus,Sub Assembly,WJRCK01,9SA5GRO,Closed,19,GM300MOOBK,Phacochoerus aethiopus,Sub Assembly,9SA5GRO,RXYJT63,Unreleased,4,FW972V3U2B,Estrilda erythronotos,Raw Material,RXYJT63
MZ441ELE73,Ardea golieth,Finished Good,GGZSYNN,GGZSYNN,Released,32,ZO213ADVAL,Eubalaena australis,Sub Assembly,44RJJ2B,9DPMC4A,Complete,25,SU2488GBJT,Ursus arctos,Sub Assembly,9DPMC4A,CQSLZJN,Complete,71,TU742ZI5X9,Marmota flaviventris,Sub Assembly,CQSLZJN,DLZ1AA4,Complete,61,KF569KK1KH,Felis concolor,Raw Material,DLZ1AA4
ItemNumber,ItemDescription,Finished Good,YIGBHTZ,YIGBHTZ,Unreleased,40,FU119WGN5I,Cynictis penicillata,Sub Assembly,DM9OYCM,D3KHRLI,Complete,9,ML469SF2K2,Halcyon smyrnesis,Sub Assembly,D3KHRLI,ZKNHYUQ,Complete,93,QM499YIS2Z,Sarcorhamphus papa,Sub Assembly,ZKNHYUQ,HC5QSB1,Closed,64,VE81887FOJ,Branta canadensis,Raw Material,HC5QSB1
UL669134MZ,unavailable,Finished Good,5K5DFOO,5K5DFOO,Unreleased,66,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,QMUGEWG,OT1YG46,Closed,59,PL3630RQA1,Tachybaptus ruficollis,Sub Assembly,OT1YG46,5RCFEAN,Complete,36,HH003HH20Q,Coluber constrictor,Sub Assembly,5RCFEAN,OGD0WH6,Unreleased,31,DG5425MKKH,Canis lupus baileyi,Raw Material,OGD0WH6
IZ767GIG18,Eunectes sp.,Finished Good,086AQOV,086AQOV,Closed,43,NL479YC3PM,Macropus agilis,Sub Assembly,RJQHJT4,X3QR966,Unreleased,20,GK022DF4QW,Lasiodora parahybana,Sub Assembly,X3QR966,J5H2S0H,Closed,11,AY716PAQUF,Tragelaphus angasi,Sub Assembly,J5H2S0H,HBAL1KF,Complete,20,VA5438M3AI,Marmota caligata,Raw Material,HBAL1KF
XX842ECD1B,Eumetopias jubatus,Finished Good,23OJAUW,23OJAUW,Unreleased,58,IX83928QKZ,Genetta genetta,Sub Assembly,QHCXNKV,TU2DBGD,Closed,1,TT307O6LI0,Certotrichas paena,Sub Assembly,TU2DBGD,OQ2O30Q,Unreleased,59,HI3761FZQK,Trichosurus vulpecula,Sub Assembly,OQ2O30Q,0QTJY8X,Unreleased,88,PS669FHLGZ,Macropus agilis,Raw Material,0QTJY8X
MZ441ELE73,Ardea golieth,Finished Good,CB15FKY,CB15FKY,Closed,50,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,WK5BUAR,05F08SV,Complete,70,CO124ZSD0O,Spilogale gracilis,Sub Assembly,05F08SV,RJI61OR,Closed,27,MS833OCH3X,Ephipplorhynchus senegalensis,Sub Assembly,RJI61OR,0JJHOQ7,Closed,14,FO414C6HRS,Leprocaulinus vipera,Raw Material,0JJHOQ7
VG5951YMIZ,Phalacrocorax carbo,Finished Good,JQUANB7,JQUANB7,Released,44,ZT17074KDS,Neophron percnopterus,Sub Assembly,J6F8YIR,VQA11SA,Unreleased,38,FC438KLT2J,Pterocles gutturalis,Sub Assembly,VQA11SA,EMP4W84,Complete,28,JW707OFWLP,Bassariscus astutus,Sub Assembly,EMP4W84,32E0KHW,Closed,63,EL142TRNPG,Psophia viridis,Raw Material,32E0KHW
UL669134MZ,unavailable,Finished Good,E6OF1V7,E6OF1V7,Closed,20,HI221W99HA,Manouria emys,Sub Assembly,QIPE84I,KQWOKA6,Unreleased,11,HP871D4F83,Callipepla gambelii,Sub Assembly,KQWOKA6,9C6EBD0,Complete,85,DQ958PRZ6A,Odocoileus hemionus,Sub Assembly,9C6EBD0,SA2HQYO,Unreleased,18,XJ235077N7,Colaptes campestroides,Raw Material,SA2HQYO
IZ767GIG18,Eunectes sp.,Finished Good,DE5ZBX7,DE5ZBX7,Unreleased,44,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,HZ5NE8A,A1WRCUM,Complete,52,ZD552B4JBM,Coluber constrictor foxii,Sub Assembly,A1WRCUM,D7F0RJR,Closed,13,JM823IX0MZ,Ploceus intermedius,Sub Assembly,D7F0RJR,0EL15PB,Released,16,TY680DGHAB,Bettongia penicillata,Raw Material,0EL15PB
XX842ECD1B,Eumetopias jubatus,Finished Good,HF4LRZM,HF4LRZM,Unreleased,67,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,DGWMXJ9,9Y9MDJE,Unreleased,1,OJ2250C54Q,Dromaeus novaehollandiae,Sub Assembly,9Y9MDJE,JMUYFQJ,Unreleased,13,TD103R0KAU,Notechis semmiannulatus,Sub Assembly,JMUYFQJ,74IL1HQ,Closed,84,NL071OMSF7,Spizaetus coronatus,Raw Material,74IL1HQ
MZ441ELE73,Ardea golieth,Finished Good,ZJVCQV4,ZJVCQV4,Closed,84,QV741IG248,Haliaetus vocifer,Sub Assembly,F930OAW,ZMG8YGY,Released,71,OI8633SWUT,Coendou prehensilis,Sub Assembly,ZMG8YGY,TL5A7W8,Released,16,SW8825VFOO,Butorides striatus,Sub Assembly,TL5A7W8,W8GNNV1,Released,17,TC523SFD4A,Smithopsis crassicaudata,Raw Material,W8GNNV1
VG5951YMIZ,Phalacrocorax carbo,Finished Good,LAC0T26,LAC0T26,Released,97,IN009KUD12,Francolinus swainsonii,Sub Assembly,XY1WQ6N,PFKWZ2V,Complete,9,DT520ZOXYB,Macropus eugenii,Sub Assembly,PFKWZ2V,6J7YG55,Released,88,DY819J4N02,Limnocorax flavirostra,Sub Assembly,6J7YG55,H0A1PTH,Unreleased,41,YI656ESDO9,Connochaetus taurinus,Raw Material,H0A1PTH
UL669134MZ,unavailable,Finished Good,TXS2Z9F,TXS2Z9F,Complete,22,GV32235T5I,Helogale undulata,Sub Assembly,2T2SQ7A,AK2HFP6,Closed,87,RG598ASDO7,Trachyphonus vaillantii,Sub Assembly,AK2HFP6,QYQOGYF,Released,61,GQ026Q0UJU,Panthera leo persica,Sub Assembly,QYQOGYF,V75N129,Closed,24,WJ2461W0YO,Lutra canadensis,Raw Material,V75N129
IZ767GIG18,Eunectes sp.,Finished Good,PMPY1RU,PMPY1RU,Unreleased,91,UJ1902SZ74,Sula nebouxii,Sub Assembly,819SRC1,3DU0CCQ,Unreleased,44,DH031YQ31Y,Junonia genoveua,Sub Assembly,3DU0CCQ,SVJDMK7,Closed,69,XO226L7SPT,Acrobates pygmaeus,Sub Assembly,SVJDMK7,OEAKN59,Released,37,JB90651XQY,unavailable,Raw Material,OEAKN59
XX842ECD1B,Eumetopias jubatus,Finished Good,2GADGDV,2GADGDV,Unreleased,69,AT0971JPEB,Ramphastos tucanus,Sub Assembly,MHU5RYB,CWMEHHR,Closed,43,XW73487FO8,Bubo virginianus,Sub Assembly,CWMEHHR,N4QSH2R,Complete,57,ZR2952M3EF,Centrocercus urophasianus,Sub Assembly,N4QSH2R,ELNTHE2,Unreleased,40,BL578LKNYR,Irania gutteralis,Raw Material,ELNTHE2
MZ441ELE73,Ardea golieth,Finished Good,44MWZIU,44MWZIU,Complete,7,ZO213ADVAL,Eubalaena australis,Sub Assembly,BUQ5A9A,ZL9E7NJ,Released,17,WR515MRIQX,Fregata magnificans,Sub Assembly,ZL9E7NJ,Q9Y0AYF,Complete,20,MU91389WAA,Nyctanassa violacea,Sub Assembly,Q9Y0AYF,B85BZNL,Complete,77,UB629V1NLY,Elephas maximus bengalensis,Raw Material,B85BZNL
ItemNumber,ItemDescription,Finished Good,4M9VWYV,4M9VWYV,Released,23,FU119WGN5I,Cynictis penicillata,Sub Assembly,7TY7U5A,RGW74QS,Closed,69,DW699P5QVC,Pelecans onocratalus,Sub Assembly,RGW74QS,QKOPEWQ,Unreleased,93,JC602Y6DNV,Terathopius ecaudatus,Sub Assembly,QKOPEWQ,CH4C93X,Complete,17,FE193JLWYM,Pycnonotus nigricans,Raw Material,CH4C93X
UL669134MZ,unavailable,Finished Good,ZJT6POP,ZJT6POP,Complete,24,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,147EFSQ,VSC0NSG,Complete,79,AJ650FB45L,Alcelaphus buselaphus caama,Sub Assembly,VSC0NSG,VLVH9OT,Closed,6,PI973JI7N2,Dicrostonyx groenlandicus,Sub Assembly,VLVH9OT,RK9BCNS,Complete,43,PT54374P4Y,Macropus agilis,Raw Material,RK9BCNS
IZ767GIG18,Eunectes sp.,Finished Good,7WZBJJN,7WZBJJN,Released,16,NL479YC3PM,Macropus agilis,Sub Assembly,DS7KVSN,9K0NGOV,Released,4,TR723MA1YJ,Platalea leucordia,Sub Assembly,9K0NGOV,1LQVGW4,Released,84,TY961I7KT0,Cordylus giganteus,Sub Assembly,1LQVGW4,AR6XS1Z,Released,39,JG094N8EUU,Rhea americana,Raw Material,AR6XS1Z
XX842ECD1B,Eumetopias jubatus,Finished Good,N64I7CY,N64I7CY,Unreleased,38,IX83928QKZ,Genetta genetta,Sub Assembly,CDKFOM5,OJMME67,Unreleased,100,GM908GVWQ5,Choloepus hoffmani,Sub Assembly,OJMME67,P7OOHL3,Complete,61,ZR753IZGAQ,Ovis dalli stonei,Sub Assembly,P7OOHL3,L0LKTZJ,Unreleased,74,HU542C17MS,Loris tardigratus,Raw Material,L0LKTZJ
MZ441ELE73,Ardea golieth,Finished Good,6RQ3W8B,6RQ3W8B,Complete,5,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,UD4XYY4,SVK0P90,Released,83,WM417NWVWW,Vombatus ursinus,Sub Assembly,SVK0P90,9AY3FNP,Complete,32,GT996UH6O3,Streptopelia senegalensis,Sub Assembly,9AY3FNP,PRWI0MZ,Unreleased,77,AB73895I64,Otaria flavescens,Raw Material,PRWI0MZ
VG5951YMIZ,Phalacrocorax carbo,Finished Good,9SA5GRO,9SA5GRO,Closed,14,ZT17074KDS,Neophron percnopterus,Sub Assembly,RXYJT63,8H89BFU,Complete,64,YQ530V4QMY,Terrapene carolina,Sub Assembly,8H89BFU,HU378CS,Released,82,HX211RTZ1N,Merops nubicus,Sub Assembly,HU378CS,I4YNLL6,Unreleased,8,SJ960KRH68,Larus fuliginosus,Raw Material,I4YNLL6
UL669134MZ,unavailable,Finished Good,CQSLZJN,CQSLZJN,Closed,67,HI221W99HA,Manouria emys,Sub Assembly,DLZ1AA4,9VPMQT8,Unreleased,7,MG684CDYQL,Papio ursinus,Sub Assembly,9VPMQT8,6GUU85R,Closed,94,LP825S8YPF,Agama sp.,Sub Assembly,6GUU85R,KPB6R8B,Complete,71,FL7892A8WU,Eubalaena australis,Raw Material,KPB6R8B
IZ767GIG18,Eunectes sp.,Finished Good,ZKNHYUQ,ZKNHYUQ,Unreleased,2,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,HC5QSB1,AWT9382,Complete,29,SD943E74A0,Castor canadensis,Sub Assembly,AWT9382,YUDE4HT,Complete,0,QF725RP85F,Globicephala melas,Sub Assembly,YUDE4HT,CLCFGKP,Complete,16,MQ5138P9JE,Francolinus coqui,Raw Material,CLCFGKP
XX842ECD1B,Eumetopias jubatus,Finished Good,5RCFEAN,5RCFEAN,Closed,56,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,OGD0WH6,KOPRBKQ,Unreleased,82,QX118174TB,Dusicyon thous,Sub Assembly,KOPRBKQ,UCRFJJT,Unreleased,41,AJ872NTCY9,Chlamydosaurus kingii,Sub Assembly,UCRFJJT,YK7TBPH,Closed,34,SK495QDEF7,Laniarius ferrugineus,Raw Material,YK7TBPH
MZ441ELE73,Ardea golieth,Finished Good,J5H2S0H,J5H2S0H,Released,97,QV741IG248,Haliaetus vocifer,Sub Assembly,HBAL1KF,233UKMR,Released,12,FI450JPZCV,Macropus eugenii,Sub Assembly,233UKMR,AV4EIHF,Complete,39,RT503J7TTC,Melursus ursinus,Sub Assembly,AV4EIHF,CFLT5TY,Closed,85,MC848DVRAC,Nyctea scandiaca,Raw Material,CFLT5TY
VG5951YMIZ,Phalacrocorax carbo,Finished Good,OQ2O30Q,OQ2O30Q,Released,41,IN009KUD12,Francolinus swainsonii,Sub Assembly,0QTJY8X,U4JHZ6O,Released,9,HE967K2P62,Felis wiedi or Leopardus weidi,Sub Assembly,U4JHZ6O,CRBVZRK,Complete,23,YO113PZZXJ,Ciconia episcopus,Sub Assembly,CRBVZRK,L29QOFJ,Closed,61,HG188X9WTP,Amazona sp.,Raw Material,L29QOFJ
UL669134MZ,unavailable,Finished Good,RJI61OR,RJI61OR,Unreleased,17,GV32235T5I,Helogale undulata,Sub Assembly,0JJHOQ7,7NZ7G72,Complete,11,UC95605J9C,Macropus robustus,Sub Assembly,7NZ7G72,6T44EYH,Closed,80,SV498JNP9L,Vombatus ursinus,Sub Assembly,6T44EYH,N9DXMNR,Released,24,GG527LJPFA,Propithecus verreauxi,Raw Material,N9DXMNR
IZ767GIG18,Eunectes sp.,Finished Good,EMP4W84,EMP4W84,Unreleased,47,UJ1902SZ74,Sula nebouxii,Sub Assembly,32E0KHW,NV8C8I1,Released,79,JU321C82FC,Pycnonotus barbatus,Sub Assembly,NV8C8I1,N63QKZ7,Unreleased,92,NE275JOINQ,Naja sp.,Sub Assembly,N63QKZ7,NE6G9T0,Released,86,JU435PSSR4,Haematopus ater,Raw Material,NE6G9T0
XX842ECD1B,Eumetopias jubatus,Finished Good,9C6EBD0,9C6EBD0,Unreleased,25,AT0971JPEB,Ramphastos tucanus,Sub Assembly,SA2HQYO,XLQ9CBH,Unreleased,59,ET674G0JJH,Casmerodius albus,Sub Assembly,XLQ9CBH,E4ULMGH,Unreleased,11,JB326U2NS5,Calyptorhynchus magnificus,Sub Assembly,E4ULMGH,D8EWSZA,Unreleased,13,JP625WO1D5,Macropus robustus,Raw Material,D8EWSZA
MZ441ELE73,Ardea golieth,Finished Good,D7F0RJR,D7F0RJR,Released,30,ZO213ADVAL,Eubalaena australis,Sub Assembly,0EL15PB,9WKI0YR,Complete,61,QW9998X5WK,Myotis lucifugus,Sub Assembly,9WKI0YR,WBRM2GL,Complete,14,PC749PGY7S,Varanus salvator,Sub Assembly,WBRM2GL,UEB3SSD,Released,53,FY29114G54,Odocoileus hemionus,Raw Material,UEB3SSD
ItemNumber,ItemDescription,Finished Good,JMUYFQJ,JMUYFQJ,Unreleased,100,FU119WGN5I,Cynictis penicillata,Sub Assembly,74IL1HQ,7XKPT0Q,Complete,22,TK143QJ0LV,Trachyphonus vaillantii,Sub Assembly,7XKPT0Q,KUYT1TA,Released,92,BC766JEI7N,Nasua nasua,Sub Assembly,KUYT1TA,Q0CEDY6,Unreleased,75,GQ0182Q87S,Phoenicopterus ruber,Raw Material,Q0CEDY6
UL669134MZ,unavailable,Finished Good,TL5A7W8,TL5A7W8,Unreleased,37,GN1077TGK9,Boa constrictor mexicana,Sub Assembly,W8GNNV1,MYNGP44,Unreleased,16,UA700ZHN5F,Buteo regalis,Sub Assembly,MYNGP44,SYCFNT1,Complete,87,ID789KWZ0Y,Anthropoides paradisea,Sub Assembly,SYCFNT1,Z7GWQW1,Closed,80,SU3558QGPO,Equus burchelli,Raw Material,Z7GWQW1
IZ767GIG18,Eunectes sp.,Finished Good,6J7YG55,6J7YG55,Complete,90,NL479YC3PM,Macropus agilis,Sub Assembly,H0A1PTH,58DKU8X,Complete,47,TR202OHRJ8,Zosterops pallidus,Sub Assembly,58DKU8X,649I366,Closed,75,HW991WJL7F,Phasianus colchicus,Sub Assembly,649I366,Y1CLWE0,Unreleased,79,HZ757T2TCN,Cathartes aura,Raw Material,Y1CLWE0
XX842ECD1B,Eumetopias jubatus,Finished Good,QYQOGYF,QYQOGYF,Unreleased,90,IX83928QKZ,Genetta genetta,Sub Assembly,V75N129,CZJ4XZ4,Complete,7,RY8076ADQX,Laniarius ferrugineus,Sub Assembly,CZJ4XZ4,8WNCHXV,Closed,87,DN461YHLB3,Myotis lucifugus,Sub Assembly,8WNCHXV,Z55PJUQ,Closed,29,VN985RSJVF,Panthera pardus,Raw Material,Z55PJUQ
MZ441ELE73,Ardea golieth,Finished Good,SVJDMK7,SVJDMK7,Closed,6,MU581HY914,Cereopsis novaehollandiae,Sub Assembly,OEAKN59,NVVWIUF,Unreleased,7,ZF254JDBWA,Papio cynocephalus,Sub Assembly,NVVWIUF,HT14D2Z,Released,28,WD84045RY5,Pavo cristatus,Sub Assembly,HT14D2Z,SRGJE56,Released,88,ZK00778SBK,Coluber constrictor,Raw Material,SRGJE56
VG5951YMIZ,Phalacrocorax carbo,Finished Good,N4QSH2R,N4QSH2R,Complete,69,ZT17074KDS,Neophron percnopterus,Sub Assembly,ELNTHE2,JACIKFP,Closed,45,HT187TM346,Melophus lathami,Sub Assembly,JACIKFP,UOUB8R9,Closed,27,YV401RBLIV,Naja nivea,Sub Assembly,UOUB8R9,GFPCHJF,Released,97,XA482JNDI3,Uraeginthus angolensis,Raw Material,GFPCHJF
UL669134MZ,unavailable,Finished Good,Q9Y0AYF,Q9Y0AYF,Complete,72,HI221W99HA,Manouria emys,Sub Assembly,B85BZNL,5N7IVF9,Complete,37,AN106VMB9Z,Meleagris gallopavo,Sub Assembly,5N7IVF9,6FAJYZH,Unreleased,8,CM8676IOLV,Sylvicapra grimma,Sub Assembly,6FAJYZH,7HB4RBQ,Released,4,NF493JJDO0,Bubalornis niger,Raw Material,7HB4RBQ
IZ767GIG18,Eunectes sp.,Finished Good,QKOPEWQ,QKOPEWQ,Released,57,TW138D0O1G,Toxostoma curvirostre,Sub Assembly,CH4C93X,0D8DXNZ,Complete,19,FF3610NQ0W,Actophilornis africanus,Sub Assembly,0D8DXNZ,43RIHLN,Closed,71,QB1164GSNA,unavailable,Sub Assembly,43RIHLN,6DG2V6H,Unreleased,35,EL279VQTFK,Cervus canadensis,Raw Material,6DG2V6H
XX842ECD1B,Eumetopias jubatus,Finished Good,VLVH9OT,VLVH9OT,Released,21,AN397S5RSI,Phalaropus fulicarius,Sub Assembly,RK9BCNS,AXDZ7BM,Closed,35,BS508XXHRD,Spermophilus richardsonii,Sub Assembly,AXDZ7BM,UPBD72J,Closed,81,HC267PP39I,Caiman crocodilus,Sub Assembly,UPBD72J,L8GDH98,Unreleased,59,TQ319TE6GU,Smithopsis crassicaudata,Raw Material,L8GDH98
